        Pcore(1)        Pcore(2)        Pcore(3)        Pcore(4)        Pcore(5)        Pcore(6)        Pcore(7)        Pcore(8)
     1.4942529     2.9885057     4.4827586     5.9770115     5.9770115     4.4827586     2.9885057     1.4942529
        Vcore(1)        Vcore(2)        Vcore(3)        Vcore(4)        Vcore(5)        Vcore(6)        Vcore(7)        Vcore(8)
             0             0             0             0             0             0             0             0
     10.097848     10.172561     10.247273     10.321986     10.321986     10.247273     10.172561     10.097848
     10.148767      10.22348     10.298193     10.372905     10.372905     10.298193      10.22348     10.148767
     10.199339     10.274052     10.348765     10.423477     10.423477     10.348765     10.274052     10.199339
     10.249566     10.324279     10.398991     10.473704     10.473704     10.398991     10.324279     10.249566
      10.29945     10.374163     10.448876     10.523588     10.523588     10.448876     10.374163      10.29945
     10.348994     10.423707     10.498419     10.573132     10.573132     10.498419     10.423707     10.348994
       10.3982     10.472912     10.547625     10.622338     10.622338     10.547625     10.472912       10.3982
      10.44707     10.521782     10.596495     10.671208     10.671208     10.596495     10.521782      10.44707
     10.495606     10.570319     10.645031     10.719744     10.719744     10.645031     10.570319     10.495606
     10.543812     10.618524     10.693237     10.767949     10.767949     10.693237     10.618524     10.543812
     10.591688     10.666401     10.741113     10.815826     10.815826     10.741113     10.666401     10.591688
     10.639238      10.71395     10.788663     10.863376     10.863376     10.788663      10.71395     10.639238
     10.686463     10.761176     10.835888     10.910601     10.910601     10.835888     10.761176     10.686463
     10.733366     10.808079     10.882791     10.957504     10.957504     10.882791     10.808079     10.733366
     10.779949     10.854662     10.929374     11.004087     11.004087     10.929374     10.854662     10.779949
     10.826214     10.900927      10.97564     11.050352     11.050352      10.97564     10.900927     10.826214
     10.872164     10.946876     11.021589     11.096302     11.096302     11.021589     10.946876     10.872164
       10.9178     10.992512     11.067225     11.141938     11.141938     11.067225     10.992512       10.9178
     10.963124     11.037837      11.11255     11.187262     11.187262      11.11255     11.037837     10.963124
      11.00814     11.082852     11.157565     11.232278     11.232278     11.157565     11.082852      11.00814
     11.052848      11.12756     11.202273     11.276986     11.276986     11.202273      11.12756     11.052848
     11.097251     11.171964     11.246676     11.321389     11.321389     11.246676     11.171964     11.097251
     11.141351     11.216064     11.290776     11.365489     11.365489     11.290776     11.216064     11.141351
