      R(bc)Cb=0.055834378
         VBase        Charge
    0.20056745    0.20539467
     0.2029141     0.2078261
    0.20525876    0.21025651
    0.20760144    0.21268591
    0.20994214    0.21511428
    0.21228087    0.21754165
    0.21461761    0.21996799
    0.21695238    0.22239332
    0.21928518    0.22481763
      0.221616    0.22724093
    0.22394486    0.22966322
    0.22627174    0.23208449
    0.22859666    0.23450474
    0.23091961    0.23692398
     0.2332406    0.23934221
    0.23555963    0.24175943
     0.2378767    0.24417563
    0.24019181    0.24659082
    0.24250496      0.249005
    0.24481615    0.25141817
     0.2471254    0.25383033
    0.24943269    0.25624147
    0.25173803    0.25865161
    0.25404142    0.26106074
    0.25634286    0.26346885
    0.25864236    0.26587596
    0.26093992    0.26828206
    0.26323553    0.27068715
     0.2655292    0.27309123
    0.26782094    0.27549431
    0.27011073    0.27789638
     0.2723986    0.28029744
    0.27468452    0.28269749
    0.27696852    0.28509654
    0.27925058    0.28749458
    0.28153072    0.28989162
    0.28380892    0.29228765
    0.28608521    0.29468268
    0.28835956    0.29707671
      0.290632    0.29946973
    0.29290251    0.30186174
    0.29517111    0.30425276
    0.29743778    0.30664277
    0.29970255    0.30903178
    0.30196539    0.31141978
    0.30422633    0.31380679
    0.30648535    0.31619279
    0.30874246     0.3185778
    0.31099767     0.3209618
    0.31325097     0.3233448
    0.31550236     0.3257268
    0.31775185    0.32810781
    0.31999944    0.33048781
    0.32224513    0.33286682
    0.32448892    0.33524483
    0.32673082    0.33762184
    0.32897082    0.33999785
    0.33120892    0.34237287
    0.33344514    0.34474689
    0.33567946    0.34711991
     0.3379119    0.34949194
    0.34014244    0.35186297
    0.34237111    0.35423301
    0.34459789    0.35660205
    0.34682278     0.3589701
     0.3490458    0.36133715
    0.35126693    0.36370321
    0.35348619    0.36606828
    0.35570358    0.36843236
    0.35791909    0.37079544
    0.36013272    0.37315753
    0.36234449    0.37551862
    0.36455438    0.37787873
    0.36676241    0.38023785
    0.36896857    0.38259597
    0.37117287     0.3849531
     0.3733753    0.38730925
    0.37557587     0.3896644
    0.37777458    0.39201857
    0.37997143    0.39437175
    0.38216643    0.39672394
    0.38435957    0.39907514
    0.38655085    0.40142535
    0.38874029    0.40377458
    0.39092787    0.40612282
     0.3931136    0.40847007
    0.39529749    0.41081633
